Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
Touhou Mystia's Izakaya,370,Overwhelmingly Positive,688,"二色幽紫蝶, Re零同人社","Casual, Indie, RPG, Simulation",,['Windows7']," Intel Pentium G5500 , Core i3-6100 , AMD Ryzen3 1200", 8 GB RAM," NVIDIA GTX 750Ti , AMD HD 7790", Version 11,, 1 GB available space
Dark Deception: Monsters & Mortals,133,Mixed,26,Glowstick Entertainment,"Action, Casual, Indie",,"['Windows7', 'Windows8', 'Windows10']"," Intel Core i5-4330,AMD FX-6300", 8 GB RAM," NVIDIA GeForce GTX 960 2GB, AMD Radeon R7 370 2GB", Version 11, Broadband Internet connection, 3 GB available space
Skullgirls 2nd Encore,465,Overwhelmingly Positive,203,Hidden Variable Studios,"Action, Indie",83,['Windows7'], Dual-core CPU, 2 GB RAM, Intel HD3000, Version 9.0c, Broadband Internet connection, 14 GB available space
Hearts of Iron IV: Allied Armor Pack,280,Mixed,249,Paradox Development Studio,"Simulation, Strategy",,['Windows7']," Intel Core 2 Quad Q9400 @ 2.66 GHz , AMD Athlon II X4 650 @ 3.20 GHz", 4 GB RAM, ATI Radeon HD 5850, Version 9.0,, 2 GB available space
Half-Life: Source,385,Mixed,231,Valve,Action,,,,,,,,
RainWallpaper,102,Mixed,570,RainySoft,"Animation & Modeling, Design & Illustration, Utilities, Early Access",,['Windows7'],, 1 GB RAM,,,, 200 MB available space
Black Reliquary Soundtrack,385,No user reviews,,Team Reliquary ltd.,,,,,,,,, 250 MB available space
Partum Artifex,385,Very Positive,11,DalaKoala Games,Adventure,,['Windows7'], Intel Core i5-2500K CPU, 6 GB RAM," Geforce GTX 660,GTX 1050,GTX 770M", Version 11,, 20 GB available space
Born Into Fear,154,Very Positive,150,Just Sauce Studio,"Adventure, Indie",,"['Windows7', 'Windows8', 'Windows10']", AMD Ryzen 3 3200G; Intel I3-9100F,, GTX 1030 2GB,,,
Graveyard Keeper - Stranger Sins,385,Very Positive,302,Lazy Bear Games,"Adventure, Indie, RPG, Simulation",,['Windows7']," Intel core i5, 1.5 GHz and up",," 1 Gb dedicated video card, shader model 3.0+",,,
